epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9693,1.08488,3.83347,1.06644,0.40428,0.10716,0.06103,0.05165,1.20029,3.35915,1.10192,5.13067e-05,5.13067e-05,5.13067e-05
2,52.5167,1.10983,3.73562,1.05183,0.40839,0.09764,0.05385,0.04327,1.20765,3.34754,1.12287,9.8193e-05,9.8193e-05,9.8193e-05
3,75.1182,1.06646,3.63374,1.055,0.45049,0.07697,0.05623,0.04605,1.20566,3.23335,1.12016,0.000139931,0.000139931,0.000139931
4,97.3339,1.04912,3.46331,1.04889,0.39091,0.10242,0.06356,0.05009,1.19962,3.18875,1.10489,0.000132834,0.000132834,0.000132834
5,119.149,1.04648,3.36531,1.03623,0.43185,0.11292,0.07384,0.05848,1.20217,3.0974,1.1029,0.000125112,0.000125112,0.000125112
6,141.643,1.05959,3.24202,1.03875,0.39637,0.13014,0.07933,0.06371,1.16222,3.0668,1.09787,0.00011739,0.00011739,0.00011739
7,164.013,1.03878,3.1901,1.02786,0.40432,0.12761,0.08586,0.06718,1.1721,3.03814,1.09246,0.000109668,0.000109668,0.000109668
8,185.632,1.04507,3.09464,1.03287,0.39763,0.14069,0.10076,0.08181,1.16522,3.04155,1.10071,0.000101946,0.000101946,0.000101946
9,207.546,1.0088,3.05952,1.02385,0.43121,0.11231,0.08521,0.06815,1.15017,3.01368,1.08463,9.4224e-05,9.4224e-05,9.4224e-05
10,229.627,1.01135,2.98481,1.0139,0.37703,0.13532,0.09235,0.07456,1.13436,2.9719,1.07249,8.6502e-05,8.6502e-05,8.6502e-05
11,330.868,0.98284,3.28266,1.00489,0.3651,0.14398,0.10743,0.08808,1.13792,2.97104,1.08823,7.878e-05,7.878e-05,7.878e-05
12,354.658,0.96556,3.15921,0.99519,0.39303,0.15147,0.10458,0.08658,1.13458,2.92974,1.07788,7.1058e-05,7.1058e-05,7.1058e-05
13,376.075,0.95493,3.06503,0.98172,0.33763,0.13851,0.10249,0.08349,1.15028,2.91261,1.09117,6.3336e-05,6.3336e-05,6.3336e-05
14,397.621,0.94417,3.03979,0.9806,0.39548,0.1427,0.10639,0.0858,1.16171,2.88383,1.09058,5.5614e-05,5.5614e-05,5.5614e-05
15,428.101,0.94834,2.97625,0.98225,0.39517,0.13673,0.10159,0.08417,1.13573,2.88789,1.08164,4.7892e-05,4.7892e-05,4.7892e-05
16,461.866,0.9256,2.91395,0.97082,0.38198,0.15649,0.09871,0.08112,1.12317,2.86514,1.06636,4.017e-05,4.017e-05,4.017e-05
17,489.466,0.91559,2.90128,0.9635,0.37846,0.15468,0.09854,0.07956,1.12676,2.87134,1.06718,3.2448e-05,3.2448e-05,3.2448e-05
18,511.148,0.92142,2.86741,0.97052,0.36216,0.16472,0.10014,0.08207,1.12473,2.87407,1.06561,2.4726e-05,2.4726e-05,2.4726e-05
19,532.426,0.91857,2.84454,0.97292,0.38982,0.16901,0.10571,0.08677,1.12259,2.85013,1.06443,1.7004e-05,1.7004e-05,1.7004e-05
20,553.901,0.91581,2.81477,0.95937,0.3902,0.17154,0.10451,0.08602,1.12307,2.85683,1.06369,9.282e-06,9.282e-06,9.282e-06
