epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1151.82,0.73954,1.14792,0.89138,0.4192,0.14255,0.1276,0.10557,1.16555,3.15686,1.12793,3.2448e-05,3.2448e-05,3.2448e-05
42,1178.76,0.71349,1.06105,0.88421,0.33381,0.18105,0.13714,0.1136,1.17762,3.08368,1.12802,2.93592e-05,2.93592e-05,2.93592e-05
43,1203.27,0.71125,1.01876,0.88235,0.34648,0.17807,0.13574,0.11236,1.17973,3.08776,1.13001,2.62704e-05,2.62704e-05,2.62704e-05
44,1227.95,0.71429,1.02345,0.88125,0.37042,0.16718,0.13279,0.10913,1.17671,3.08922,1.1268,2.31816e-05,2.31816e-05,2.31816e-05
45,1260.45,0.70669,1.01417,0.8772,0.30624,0.18352,0.1406,0.11476,1.16651,3.08881,1.12329,2.00928e-05,2.00928e-05,2.00928e-05
46,1281.91,0.69337,0.9883,0.87821,0.34177,0.17363,0.13781,0.11413,1.16943,3.08808,1.12541,1.7004e-05,1.7004e-05,1.7004e-05
47,1311.86,0.68289,0.9683,0.87684,0.30403,0.1809,0.14155,0.11685,1.17346,3.08076,1.12927,1.39152e-05,1.39152e-05,1.39152e-05
48,1333.54,0.6911,0.98242,0.87694,0.31089,0.18447,0.13977,0.11553,1.17184,3.07334,1.12214,1.08264e-05,1.08264e-05,1.08264e-05
49,1363.95,0.69414,0.97201,0.87745,0.30568,0.18333,0.1417,0.11698,1.17279,3.07828,1.12463,7.7376e-06,7.7376e-06,7.7376e-06
50,1385.31,0.69054,0.94603,0.87519,0.31333,0.18027,0.14071,0.1156,1.1789,3.07326,1.13095,4.6488e-06,4.6488e-06,4.6488e-06
