epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,904.879,0.92298,1.90715,0.95655,0.25357,0.11791,0.06139,0.04617,1.06661,3.2148,1.14991,9.26796e-05,9.26796e-05,9.26796e-05
43,926.022,0.86887,1.87673,0.9389,0.25957,0.13474,0.06438,0.0501,1.08093,3.18459,1.16362,9.11352e-05,9.11352e-05,9.11352e-05
44,947.298,0.90235,1.87212,0.94502,0.21878,0.12939,0.07143,0.05578,1.07571,3.17263,1.16592,8.95908e-05,8.95908e-05,8.95908e-05
45,968.529,0.87619,1.8685,0.93493,0.20796,0.14054,0.06425,0.04981,1.07494,3.22884,1.16033,8.80464e-05,8.80464e-05,8.80464e-05
46,989.738,0.87762,1.78385,0.93943,0.20903,0.11765,0.05547,0.04441,1.09886,3.33655,1.17771,8.6502e-05,8.6502e-05,8.6502e-05
47,1011.05,0.89497,1.8403,0.94573,0.19813,0.11145,0.0596,0.04651,1.07656,3.24924,1.16318,8.49576e-05,8.49576e-05,8.49576e-05
48,1032.73,0.88716,1.79798,0.9409,0.20461,0.12163,0.06681,0.05267,1.09328,3.21567,1.18667,8.34132e-05,8.34132e-05,8.34132e-05
49,1054.96,0.87085,1.77425,0.93909,0.22713,0.12769,0.07063,0.0576,1.09145,3.28231,1.17873,8.18688e-05,8.18688e-05,8.18688e-05
50,1076.24,0.89624,1.74999,0.93944,0.21498,0.13352,0.07634,0.06072,1.08806,3.32713,1.17517,8.03244e-05,8.03244e-05,8.03244e-05
51,1097.54,0.87639,1.74154,0.94151,0.25901,0.1194,0.07685,0.06093,1.06856,3.2502,1.15702,7.878e-05,7.878e-05,7.878e-05
52,1118.98,0.85543,1.70344,0.93226,0.24594,0.11526,0.07021,0.05511,1.08617,3.23445,1.18034,7.72356e-05,7.72356e-05,7.72356e-05
53,1140.13,0.88471,1.71875,0.93314,0.26391,0.10149,0.06249,0.04899,1.07078,3.34324,1.167,7.56912e-05,7.56912e-05,7.56912e-05
54,1162,0.85556,1.67615,0.9295,0.31876,0.0842,0.06437,0.05084,1.08214,3.30028,1.17055,7.41468e-05,7.41468e-05,7.41468e-05
55,1183.38,0.86432,1.66805,0.93619,0.24457,0.14177,0.07448,0.05916,1.08315,3.26391,1.17708,7.26024e-05,7.26024e-05,7.26024e-05
56,1205.25,0.84005,1.63465,0.92833,0.20232,0.12792,0.06056,0.04789,1.0729,3.30043,1.16407,7.1058e-05,7.1058e-05,7.1058e-05
57,1226.35,0.8568,1.62919,0.92757,0.2532,0.14445,0.07175,0.05571,1.08447,3.23775,1.16783,6.95136e-05,6.95136e-05,6.95136e-05
58,1247.79,0.85415,1.59846,0.93335,0.24279,0.1125,0.07304,0.05667,1.08123,3.30523,1.17522,6.79692e-05,6.79692e-05,6.79692e-05
59,1268.73,0.86449,1.58187,0.92939,0.27397,0.12211,0.07647,0.06008,1.06398,3.30898,1.15921,6.64248e-05,6.64248e-05,6.64248e-05
60,1290.2,0.85358,1.60876,0.92602,0.13498,0.13972,0.06553,0.05107,1.07693,3.37295,1.15819,6.48804e-05,6.48804e-05,6.48804e-05
61,1311.52,0.84342,1.56989,0.92742,0.21236,0.1054,0.06189,0.04856,1.05833,3.32342,1.15781,6.3336e-05,6.3336e-05,6.3336e-05
62,1333.22,0.85991,1.59314,0.92498,0.1259,0.10502,0.06678,0.05211,1.05775,3.32596,1.15398,6.17916e-05,6.17916e-05,6.17916e-05
63,1354.25,0.84633,1.55912,0.92516,0.24274,0.1292,0.06932,0.05473,1.04594,3.28088,1.14818,6.02472e-05,6.02472e-05,6.02472e-05
64,1375.41,0.84413,1.52755,0.91513,0.19343,0.11604,0.06641,0.05207,1.0593,3.36048,1.15515,5.87028e-05,5.87028e-05,5.87028e-05
65,1396.77,0.84677,1.57234,0.9182,0.21701,0.12552,0.06907,0.05383,1.07276,3.31396,1.16449,5.71584e-05,5.71584e-05,5.71584e-05
66,1417.85,0.81772,1.52193,0.91972,0.2611,0.14066,0.07523,0.05834,1.08363,3.33113,1.17885,5.5614e-05,5.5614e-05,5.5614e-05
67,1438.86,0.83017,1.50051,0.92937,0.22101,0.11748,0.06456,0.0494,1.08044,3.38314,1.16957,5.40696e-05,5.40696e-05,5.40696e-05
68,1460.6,0.83522,1.48756,0.91803,0.22714,0.11358,0.07017,0.05461,1.06471,3.3106,1.15529,5.25252e-05,5.25252e-05,5.25252e-05
69,1482.12,0.84541,1.4761,0.91317,0.29349,0.11076,0.07565,0.0598,1.06389,3.33299,1.16395,5.09808e-05,5.09808e-05,5.09808e-05
70,1503.77,0.818,1.49795,0.91774,0.19613,0.11942,0.07025,0.0556,1.06432,3.36372,1.16151,4.94364e-05,4.94364e-05,4.94364e-05
71,1525.26,0.81618,1.44123,0.91428,0.20641,0.1068,0.07588,0.06036,1.06705,3.38897,1.17159,4.7892e-05,4.7892e-05,4.7892e-05
72,1546.22,0.83553,1.44617,0.91889,0.20916,0.10737,0.07264,0.05801,1.08377,3.34091,1.18306,4.63476e-05,4.63476e-05,4.63476e-05
73,1567.31,0.83533,1.44461,0.91131,0.26959,0.10495,0.08282,0.06793,1.07808,3.36502,1.1793,4.48032e-05,4.48032e-05,4.48032e-05
74,1588.32,0.8109,1.42746,0.91192,0.19805,0.09965,0.07437,0.0595,1.06977,3.37536,1.16741,4.32588e-05,4.32588e-05,4.32588e-05
75,1609.36,0.81781,1.44775,0.913,0.24114,0.11472,0.07324,0.05847,1.07649,3.37984,1.17265,4.17144e-05,4.17144e-05,4.17144e-05
76,1630.59,0.80437,1.42479,0.91475,0.22504,0.11043,0.07603,0.06036,1.05168,3.32497,1.15161,4.017e-05,4.017e-05,4.017e-05
77,1651.72,0.80373,1.40321,0.90405,0.19969,0.11813,0.07876,0.0631,1.07522,3.33399,1.16745,3.86256e-05,3.86256e-05,3.86256e-05
78,1672.96,0.76947,1.3914,0.90877,0.29404,0.11343,0.07704,0.06083,1.07604,3.32753,1.17343,3.70812e-05,3.70812e-05,3.70812e-05
