epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2815,0.70856,1.06446,0.89317,0.54769,0.14549,0.1508,0.12488,1.15776,3.12665,1.10777,5.13067e-05,5.13067e-05,5.13067e-05
2,43.3347,0.70409,0.96047,0.87794,0.40751,0.16933,0.1609,0.13288,1.14597,3.20017,1.09428,9.92157e-05,9.92157e-05,9.92157e-05
3,62.156,0.67303,0.93976,0.87934,0.38087,0.15713,0.1321,0.10711,1.17495,3.20209,1.12336,0.000143006,0.000143006,0.000143006
4,79.9858,0.67033,0.9329,0.88315,0.29547,0.15333,0.11981,0.09781,1.1436,3.14469,1.09397,0.000137467,0.000137467,0.000137467
5,98.0782,0.69606,0.95605,0.88362,0.48193,0.1413,0.12781,0.10395,1.1514,3.16414,1.0885,0.00013129,0.00013129,0.00013129
6,116.771,0.70939,0.95961,0.88425,0.4204,0.14451,0.14808,0.12391,1.15168,3.17228,1.11601,0.000125112,0.000125112,0.000125112
7,137.639,0.69825,0.95547,0.88502,0.33924,0.16324,0.13303,0.11384,1.16874,3.19363,1.1099,0.000118934,0.000118934,0.000118934
8,170.578,0.70684,0.9533,0.88704,0.32903,0.1752,0.14152,0.11767,1.17043,3.13513,1.10255,0.000112757,0.000112757,0.000112757
9,198.982,0.68676,0.92958,0.88754,0.40503,0.16072,0.13963,0.11596,1.1618,3.19242,1.11374,0.000106579,0.000106579,0.000106579
10,221.468,0.68249,0.91089,0.88108,0.27396,0.17822,0.1436,0.11786,1.18374,3.19073,1.12111,0.000100402,0.000100402,0.000100402
11,239.483,0.72425,0.95839,0.88669,0.25232,0.19702,0.13302,0.10594,1.16495,3.1591,1.12276,9.4224e-05,9.4224e-05,9.4224e-05
12,257.483,0.68721,0.91814,0.87967,0.4452,0.14173,0.14542,0.12066,1.16456,3.20165,1.12308,8.80464e-05,8.80464e-05,8.80464e-05
13,275.063,0.70004,0.91802,0.88276,0.43894,0.15695,0.14698,0.12177,1.17137,3.1922,1.13385,8.18688e-05,8.18688e-05,8.18688e-05
14,292.73,0.68121,0.89995,0.88499,0.49755,0.13886,0.14928,0.12492,1.15868,3.19167,1.13018,7.56912e-05,7.56912e-05,7.56912e-05
15,310.254,0.66395,0.87729,0.87965,0.46827,0.14395,0.14555,0.12185,1.16109,3.1511,1.1119,6.95136e-05,6.95136e-05,6.95136e-05
16,383.483,0.74094,1.05519,0.89656,0.41835,0.15023,0.13566,0.1119,1.18522,3.24299,1.13471,6.3336e-05,6.3336e-05,6.3336e-05
17,401.96,0.72251,0.98506,0.88489,0.3594,0.15983,0.13451,0.11183,1.19439,3.19576,1.12028,5.71584e-05,5.71584e-05,5.71584e-05
18,419.159,0.71235,0.963,0.88245,0.38972,0.1596,0.13088,0.10728,1.17669,3.19898,1.12156,5.09808e-05,5.09808e-05,5.09808e-05
19,435.86,0.71269,0.92774,0.87841,0.42188,0.15024,0.1275,0.10495,1.17396,3.21785,1.12957,4.48032e-05,4.48032e-05,4.48032e-05
20,452.858,0.70047,0.90643,0.88392,0.2461,0.17855,0.13604,0.11304,1.1781,3.18874,1.12028,3.86256e-05,3.86256e-05,3.86256e-05
21,470.078,0.69978,0.89115,0.87044,0.43723,0.14736,0.12851,0.10319,1.17611,3.15968,1.11694,3.2448e-05,3.2448e-05,3.2448e-05
22,487.138,0.69256,0.89002,0.87588,0.2679,0.18242,0.13973,0.11549,1.16181,3.18975,1.11127,2.62704e-05,2.62704e-05,2.62704e-05
23,504.457,0.68777,0.86055,0.87258,0.46435,0.14406,0.12906,0.10436,1.17031,3.18883,1.11036,2.00928e-05,2.00928e-05,2.00928e-05
24,521.233,0.68602,0.85487,0.86683,0.4629,0.12965,0.13142,0.10654,1.16771,3.18958,1.11055,1.39152e-05,1.39152e-05,1.39152e-05
25,538.507,0.67461,0.85209,0.85948,0.48078,0.13254,0.13176,0.10714,1.17092,3.164,1.11247,7.7376e-06,7.7376e-06,7.7376e-06
