epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,935.945,0.77578,1.02141,0.90027,0.17377,0.105,0.07782,0.06127,1.11286,3.67534,1.20884,9.26796e-05,9.26796e-05,9.26796e-05
43,957.258,0.73772,0.97104,0.89048,0.18159,0.10066,0.07354,0.05826,1.10572,3.57327,1.20353,9.11352e-05,9.11352e-05,9.11352e-05
44,978.688,0.75032,0.98495,0.88984,0.21782,0.1187,0.07774,0.06254,1.12424,3.6038,1.20599,8.95908e-05,8.95908e-05,8.95908e-05
45,1000.1,0.74936,0.9936,0.8892,0.34046,0.10453,0.08099,0.06655,1.1175,3.61892,1.21359,8.80464e-05,8.80464e-05,8.80464e-05
46,1021.39,0.74151,0.96291,0.88773,0.22772,0.12992,0.08408,0.06954,1.11864,3.61193,1.21124,8.6502e-05,8.6502e-05,8.6502e-05
47,1042.39,0.74859,0.97476,0.89172,0.18765,0.11975,0.08901,0.07414,1.12167,3.6266,1.2065,8.49576e-05,8.49576e-05,8.49576e-05
48,1064.07,0.74891,0.97043,0.88947,0.27961,0.09398,0.07988,0.06508,1.14023,3.60509,1.2318,8.34132e-05,8.34132e-05,8.34132e-05
49,1085.97,0.73835,0.94911,0.88934,0.1901,0.1139,0.07273,0.05695,1.13518,3.63964,1.22658,8.18688e-05,8.18688e-05,8.18688e-05
50,1107.03,0.75141,0.95332,0.88954,0.18904,0.11286,0.07991,0.06468,1.1298,3.66401,1.21131,8.03244e-05,8.03244e-05,8.03244e-05
51,1128.51,0.75045,0.96204,0.89245,0.21852,0.12019,0.08313,0.06799,1.10513,3.61632,1.19722,7.878e-05,7.878e-05,7.878e-05
52,1150.38,0.72709,0.93829,0.88475,0.27764,0.12159,0.09029,0.07277,1.12021,3.63338,1.20891,7.72356e-05,7.72356e-05,7.72356e-05
53,1171.81,0.75448,0.93946,0.88572,0.2307,0.12903,0.08928,0.07398,1.12125,3.65385,1.21137,7.56912e-05,7.56912e-05,7.56912e-05
54,1193.42,0.73688,0.93028,0.88654,0.16944,0.1152,0.08012,0.06615,1.13481,3.62458,1.21832,7.41468e-05,7.41468e-05,7.41468e-05
55,1215.18,0.7249,0.92179,0.88417,0.19123,0.11236,0.08771,0.07114,1.14307,3.64603,1.22216,7.26024e-05,7.26024e-05,7.26024e-05
56,1236.89,0.72037,0.9076,0.88534,0.19944,0.11981,0.06758,0.0535,1.13956,3.61465,1.21432,7.1058e-05,7.1058e-05,7.1058e-05
57,1257.99,0.73606,0.90836,0.88447,0.21595,0.12563,0.08316,0.06758,1.14524,3.61767,1.22157,6.95136e-05,6.95136e-05,6.95136e-05
58,1280.3,0.73067,0.9097,0.88895,0.20694,0.1129,0.08481,0.06937,1.13835,3.67793,1.22748,6.79692e-05,6.79692e-05,6.79692e-05
59,1302.73,0.72994,0.89574,0.88151,0.20197,0.12588,0.08481,0.0695,1.14951,3.63764,1.22755,6.64248e-05,6.64248e-05,6.64248e-05
60,1324.75,0.737,0.93023,0.88577,0.17348,0.11586,0.07919,0.06404,1.15537,3.68964,1.22068,6.48804e-05,6.48804e-05,6.48804e-05
61,1346.48,0.71952,0.89641,0.88121,0.19113,0.10757,0.07607,0.06201,1.14196,3.65793,1.22337,6.3336e-05,6.3336e-05,6.3336e-05
