epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4057,0.68131,0.95293,0.88424,0.40426,0.16049,0.13327,0.1087,1.14849,3.20636,1.1055,5.13067e-05,5.13067e-05,5.13067e-05
2,44.9385,0.65444,0.81546,0.86455,0.48275,0.12892,0.12561,0.10245,1.17705,3.25999,1.11273,9.92157e-05,9.92157e-05,9.92157e-05
3,64.1441,0.63029,0.7846,0.86652,0.54252,0.14146,0.1513,0.12584,1.14862,3.34335,1.09892,0.000143006,0.000143006,0.000143006
4,83.3268,0.63601,0.79802,0.87206,0.31584,0.13274,0.11073,0.09027,1.15853,3.34227,1.10705,0.000137467,0.000137467,0.000137467
5,101.669,0.65396,0.81133,0.87037,0.28581,0.1912,0.13673,0.10987,1.16722,3.26193,1.11969,0.00013129,0.00013129,0.00013129
6,120.265,0.66449,0.8079,0.87061,0.43113,0.16237,0.14265,0.11918,1.17154,3.29178,1.12104,0.000125112,0.000125112,0.000125112
7,138.794,0.65321,0.81034,0.87186,0.31541,0.18461,0.13358,0.11009,1.17488,3.20612,1.1206,0.000118934,0.000118934,0.000118934
8,157.03,0.66117,0.80607,0.8727,0.33295,0.17197,0.13194,0.11142,1.16269,3.24758,1.12051,0.000112757,0.000112757,0.000112757
9,175.467,0.64949,0.79349,0.87489,0.37905,0.16793,0.13862,0.11324,1.17867,3.27407,1.13646,0.000106579,0.000106579,0.000106579
10,193.404,0.64712,0.78437,0.87082,0.35528,0.17144,0.1482,0.12012,1.17295,3.31852,1.12125,0.000100402,0.000100402,0.000100402
11,211.89,0.67818,0.81762,0.87297,0.33211,0.16996,0.13129,0.10617,1.17688,3.33096,1.13927,9.4224e-05,9.4224e-05,9.4224e-05
12,230.254,0.64956,0.7943,0.86804,0.43409,0.17046,0.14324,0.11652,1.19659,3.32384,1.14179,8.80464e-05,8.80464e-05,8.80464e-05
13,248.672,0.65955,0.79765,0.87098,0.49142,0.14766,0.14174,0.11794,1.17281,3.30305,1.12524,8.18688e-05,8.18688e-05,8.18688e-05
14,267.109,0.64203,0.78897,0.87482,0.51252,0.13745,0.1449,0.12055,1.19179,3.29317,1.13594,7.56912e-05,7.56912e-05,7.56912e-05
15,285.211,0.63044,0.76711,0.87022,0.42974,0.15396,0.13451,0.11128,1.2039,3.27858,1.13904,6.95136e-05,6.95136e-05,6.95136e-05
16,368.09,0.69033,0.86155,0.87863,0.3202,0.15586,0.13807,0.11485,1.21123,3.35199,1.14926,6.3336e-05,6.3336e-05,6.3336e-05
17,386.829,0.67096,0.8209,0.86474,0.25444,0.17161,0.13244,0.10703,1.20597,3.31439,1.13837,5.71584e-05,5.71584e-05,5.71584e-05
18,404.326,0.66314,0.8081,0.86442,0.3841,0.14919,0.12979,0.10798,1.2109,3.34277,1.14373,5.09808e-05,5.09808e-05,5.09808e-05
19,421.582,0.66694,0.78456,0.86405,0.46889,0.13297,0.12824,0.10619,1.19803,3.32372,1.14269,4.48032e-05,4.48032e-05,4.48032e-05
20,438.37,0.66016,0.77752,0.86866,0.44403,0.13256,0.12595,0.10277,1.20819,3.28398,1.14479,3.86256e-05,3.86256e-05,3.86256e-05
21,455.604,0.66254,0.76042,0.85793,0.4572,0.13652,0.11975,0.09581,1.21367,3.273,1.15159,3.2448e-05,3.2448e-05,3.2448e-05
22,473.078,0.65758,0.77292,0.86359,0.44397,0.15015,0.13209,0.10647,1.19485,3.28912,1.13884,2.62704e-05,2.62704e-05,2.62704e-05
23,490.409,0.65461,0.75305,0.8613,0.53802,0.12254,0.1315,0.10845,1.18994,3.27035,1.13152,2.00928e-05,2.00928e-05,2.00928e-05
24,507.863,0.65871,0.75718,0.85741,0.46537,0.14111,0.13492,0.11219,1.18944,3.28344,1.13497,1.39152e-05,1.39152e-05,1.39152e-05
25,525.199,0.65519,0.76028,0.85212,0.52006,0.14114,0.1364,0.11357,1.19671,3.26388,1.13921,7.7376e-06,7.7376e-06,7.7376e-06
