epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0712,0.69546,0.83537,0.87885,0.19481,0.13186,0.09054,0.07379,1.14471,3.70716,1.21787,5.13067e-05,5.13067e-05,5.13067e-05
2,81.3774,0.69442,0.80425,0.87304,0.23603,0.11081,0.07641,0.06196,1.14152,3.74739,1.21992,0.000102284,0.000102284,0.000102284
3,106.509,0.6975,0.8313,0.87481,0.16554,0.12165,0.07889,0.06299,1.16103,3.79562,1.23071,0.000152232,0.000152232,0.000152232
4,140.328,0.72511,0.8542,0.87821,0.24169,0.11412,0.07824,0.0605,1.14728,3.79121,1.23351,0.000151367,0.000151367,0.000151367
5,173.1,0.71955,0.8639,0.87708,0.19751,0.09815,0.0755,0.05864,1.19149,3.84754,1.23993,0.000149822,0.000149822,0.000149822
6,199.959,0.73098,0.89122,0.87985,0.17952,0.10106,0.06384,0.04641,1.15687,3.89782,1.23329,0.000148278,0.000148278,0.000148278
7,222.041,0.73488,0.88357,0.8878,0.22832,0.11408,0.07236,0.05733,1.17524,3.72395,1.2434,0.000146734,0.000146734,0.000146734
8,249.465,0.72758,0.86927,0.88473,0.1581,0.10402,0.06598,0.05058,1.18188,3.71463,1.24585,0.000145189,0.000145189,0.000145189
9,281.609,0.73047,0.86903,0.88505,0.19783,0.11901,0.08247,0.06583,1.16072,3.83613,1.22905,0.000143645,0.000143645,0.000143645
10,314.076,0.72114,0.85745,0.87828,0.15889,0.0996,0.07178,0.05777,1.1799,3.94716,1.24593,0.0001421,0.0001421,0.0001421
11,346.944,0.73562,0.86927,0.88898,0.15073,0.12327,0.08664,0.07008,1.14632,3.73054,1.24436,0.000140556,0.000140556,0.000140556
12,379.316,0.71139,0.84287,0.88046,0.24967,0.10078,0.07651,0.06252,1.14695,3.81974,1.23164,0.000139012,0.000139012,0.000139012
13,407.841,0.72286,0.85443,0.87909,0.21291,0.12006,0.08949,0.0733,1.1328,3.72858,1.22495,0.000137467,0.000137467,0.000137467
14,432.565,0.69936,0.83148,0.88007,0.13764,0.1093,0.08005,0.06575,1.15811,3.71677,1.2424,0.000135923,0.000135923,0.000135923
15,464.867,0.73213,0.84434,0.87614,0.1045,0.12238,0.06474,0.04955,1.14515,3.79838,1.22512,0.000134378,0.000134378,0.000134378
16,497.974,0.7167,0.83481,0.88199,0.12743,0.1102,0.06647,0.05146,1.17272,3.81076,1.24155,0.000132834,0.000132834,0.000132834
17,530.296,0.71747,0.81717,0.87903,0.17106,0.12094,0.07156,0.05531,1.15578,3.7463,1.22739,0.00013129,0.00013129,0.00013129
18,557.57,0.72049,0.83789,0.87969,0.18663,0.10827,0.08145,0.06522,1.1705,3.85467,1.26469,0.000129745,0.000129745,0.000129745
19,585.85,0.73998,0.84336,0.87488,0.21615,0.11006,0.0732,0.05702,1.15282,3.79033,1.24423,0.000128201,0.000128201,0.000128201
20,610.202,0.69215,0.82059,0.87699,0.2571,0.10443,0.08123,0.06645,1.16734,3.84826,1.24822,0.000126656,0.000126656,0.000126656
21,633.805,0.7005,0.80349,0.88045,0.24802,0.10879,0.0869,0.06733,1.15742,3.7669,1.22518,0.000125112,0.000125112,0.000125112
22,656.791,0.70251,0.81133,0.87867,0.16161,0.08885,0.08251,0.06565,1.16903,3.80785,1.24525,0.000123568,0.000123568,0.000123568
23,680.12,0.7197,0.82109,0.88176,0.25663,0.09705,0.0896,0.0674,1.15437,3.76181,1.22782,0.000122023,0.000122023,0.000122023
24,705.437,0.71478,0.81381,0.8802,0.37125,0.09381,0.06817,0.05299,1.16838,3.73827,1.25293,0.000120479,0.000120479,0.000120479
25,728.855,0.70749,0.80301,0.87027,0.20212,0.09966,0.07253,0.05598,1.16055,3.85996,1.25018,0.000118934,0.000118934,0.000118934
