epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2623,0.94818,2.77598,0.9912,0.43341,0.16057,0.11343,0.09252,1.12684,2.85968,1.06859,5.13067e-05,5.13067e-05,5.13067e-05
2,53.4482,0.96469,2.69976,0.97716,0.43771,0.1551,0.10932,0.08921,1.13324,2.89828,1.08215,9.98975e-05,9.98975e-05,9.98975e-05
3,87.9259,0.91812,2.667,0.97792,0.4606,0.12652,0.11828,0.09961,1.14254,2.93703,1.08713,0.000145056,0.000145056,0.000145056
4,110.374,0.91415,2.56724,0.98012,0.41103,0.16695,0.11646,0.09721,1.16405,2.90199,1.08868,0.000140556,0.000140556,0.000140556
5,131.743,0.91729,2.51672,0.96712,0.45363,0.13567,0.11654,0.09469,1.16309,2.91306,1.07626,0.000135408,0.000135408,0.000135408
6,154.27,0.94294,2.47097,0.97653,0.46758,0.13462,0.11807,0.09203,1.15831,2.90915,1.0748,0.00013026,0.00013026,0.00013026
7,176.094,0.9245,2.44107,0.97576,0.37129,0.19091,0.13545,0.11129,1.15585,2.89741,1.08787,0.000125112,0.000125112,0.000125112
8,197.84,0.93075,2.38376,0.97688,0.42834,0.16649,0.13735,0.11212,1.13047,2.90958,1.07929,0.000119964,0.000119964,0.000119964
9,219.781,0.90672,2.37644,0.97291,0.34005,0.17454,0.10193,0.08268,1.13545,2.92829,1.07833,0.000114816,0.000114816,0.000114816
10,241.51,0.91005,2.32089,0.9648,0.36056,0.20043,0.11466,0.09194,1.1469,2.8749,1.09268,0.000109668,0.000109668,0.000109668
11,269.184,0.95969,2.39613,0.98063,0.40082,0.17284,0.13574,0.11349,1.15265,2.86386,1.0935,0.00010452,0.00010452,0.00010452
12,295.092,0.91977,2.32915,0.96982,0.45453,0.15944,0.13215,0.11103,1.14394,2.85423,1.08542,9.9372e-05,9.9372e-05,9.9372e-05
13,319.353,0.94386,2.33063,0.97526,0.39039,0.16906,0.11579,0.09257,1.13343,2.85746,1.08063,9.4224e-05,9.4224e-05,9.4224e-05
14,341.017,0.90441,2.29045,0.97126,0.37366,0.19856,0.12616,0.10032,1.14363,2.84884,1.08317,8.9076e-05,8.9076e-05,8.9076e-05
15,362.282,0.89182,2.18372,0.97011,0.36046,0.17538,0.11871,0.09596,1.13299,2.83141,1.09261,8.3928e-05,8.3928e-05,8.3928e-05
16,384.736,0.92972,2.2134,0.96772,0.37053,0.20129,0.14408,0.11874,1.1119,2.82279,1.0691,7.878e-05,7.878e-05,7.878e-05
17,406.525,0.90942,2.15227,0.96284,0.36223,0.19867,0.14465,0.12033,1.11289,2.82724,1.08396,7.3632e-05,7.3632e-05,7.3632e-05
18,427.984,0.90516,2.16215,0.96345,0.38273,0.16224,0.13548,0.11157,1.11564,2.8493,1.08335,6.8484e-05,6.8484e-05,6.8484e-05
19,449.678,0.9002,2.10701,0.9624,0.36788,0.19957,0.13069,0.10561,1.12358,2.83284,1.09032,6.3336e-05,6.3336e-05,6.3336e-05
20,470.968,0.90684,2.08367,0.95941,0.41649,0.16431,0.13858,0.11502,1.1291,2.84487,1.08188,5.8188e-05,5.8188e-05,5.8188e-05
21,560.018,0.87376,2.29255,0.95318,0.44323,0.13039,0.12354,0.10269,1.1357,2.91525,1.07627,5.304e-05,5.304e-05,5.304e-05
22,583.423,0.83974,2.14586,0.94066,0.32473,0.17253,0.12274,0.10253,1.11561,2.87379,1.06639,4.7892e-05,4.7892e-05,4.7892e-05
23,604.788,0.84753,2.12009,0.94056,0.35761,0.15854,0.12115,0.09802,1.11895,2.89301,1.06698,4.2744e-05,4.2744e-05,4.2744e-05
24,625.9,0.84233,2.0308,0.93081,0.38074,0.17577,0.13606,0.11224,1.11199,2.90542,1.06641,3.7596e-05,3.7596e-05,3.7596e-05
25,647.494,0.82594,2.06033,0.93597,0.39492,0.16046,0.13588,0.1136,1.14758,2.8782,1.0863,3.2448e-05,3.2448e-05,3.2448e-05
26,668.478,0.83475,2.034,0.93603,0.41428,0.14744,0.13519,0.1135,1.13787,2.8843,1.07914,2.73e-05,2.73e-05,2.73e-05
27,690.069,0.81553,2.00725,0.92425,0.39281,0.17542,0.13368,0.11237,1.12382,2.9042,1.07332,2.2152e-05,2.2152e-05,2.2152e-05
28,710.969,0.81974,2.00225,0.92155,0.41769,0.14237,0.134,0.11283,1.1233,2.8892,1.07177,1.7004e-05,1.7004e-05,1.7004e-05
29,732.38,0.8201,1.96658,0.92317,0.3882,0.1746,0.1332,0.1117,1.11568,2.88946,1.07054,1.1856e-05,1.1856e-05,1.1856e-05
30,752.982,0.80305,1.93836,0.92547,0.3904,0.18308,0.13546,0.11336,1.12066,2.88534,1.07114,6.708e-06,6.708e-06,6.708e-06
